date,O-,A-,B-,AB-,O+,A+,B+,AB+
2023-04-28,4.97,11.35,4.08,6.75,5.78,5.83,7.36,10.93
2023-04-28,4.97,11.35,4.08,6.75,5.78,5.83,7.36,10.93
2023-04-30,4.97,11.35,4.08,6.75,5.78,5.83,7.36,10.93
2023-05-02,4.97,11.35,4.08,6.75,5.78,5.83,7.36,10.93
2023-05-05,4.95,11.86,4.08,7.81,6.19,6.11,7.2,10.79
2023-05-08,5.13,11.83,4.26,8.05,6.12,6.02,7.28,11.06
2023-05-09,5.66,12.43,5.47,7.6,6.4,6.44,7.56,12.02
2023-05-14,4.96,11.8,4.56,6.83,5.83,5.98,6.53,11.01
2023-05-15,4.96,11.8,4.56,6.83,5.83,5.98,6.53,11.01
2023-05-16,5.22,12.06,5.36,7.42,5.73,6.19,6.73,11.33
2023-05-18,5.55,11.72,5.91,7.63,5.5,5.76,6.22,11.29
2023-05-20,5.72,12.04,6.1,7.39,5.93,6.1,6.54,11.76
2023-05-23,5.83,12.15,6.28,7.32,6.53,6.51,6.62,12.14
2023-05-25,5.64,11.83,6.28,7.28,6.47,6.2,6.63,11.87
2023-05-26,5.65,12.06,6.0,6.9,6.42,6.27,6.64,11.54
2023-05-31,5.29,12.01,5.66,6.94,6.36,6.47,6.75,11.26
2023-06-01,5.04,11.49,5.31,6.94,6.05,6.13,6.25,10.53
2023-06-02,4.92,11.32,5.45,6.8,6.02,6.06,6.4,10.44
2023-06-05,5.02,11.64,5.59,6.48,6.2,6.27,6.52,10.58
2023-06-06,4.55,11.19,4.93,5.53,5.75,5.78,6.0,9.94
2023-06-07,4.29,11.14,4.72,5.66,5.8,5.88,6.18,10.02
2023-06-08,4.26,11.23,4.8,5.62,5.78,5.9,6.32,9.91
2023-06-12,4.78,11.14,5.49,4.69,5.79,6.04,6.56,10.03
2023-06-13,4.37,11.09,5.51,4.53,5.6,5.88,6.34,10.05
2023-06-14,4.41,11.35,5.51,4.39,5.64,5.98,6.63,9.94
2023-06-16,4.49,11.49,5.56,4.06,5.85,5.99,7.13,10.44
2023-06-18,4.49,11.49,5.56,4.06,5.85,5.99,7.13,10.44
2023-06-20,4.35,11.38,5.24,4.93,5.77,5.84,6.94,10.69
